,id,group,year,month,replace,miles,monthyear,time_index,group_0,group_1,group_2,obs,actions,rewards,episode_starts
0,59.0,530875.0,1975.0,9.0,0.0,2353.0,9.0,0.0,0,0,0,"[np.float64(1975.0), np.float64(9.0), np.float64(2353.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,1
1,59.0,530875.0,1975.0,10.0,0.0,6299.0,10.0,1.0,0,0,0,"[np.float64(1975.0), np.float64(10.0), np.float64(6299.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
2,59.0,530875.0,1975.0,11.0,0.0,10479.0,11.0,2.0,0,0,0,"[np.float64(1975.0), np.float64(11.0), np.float64(10479.0), np.float64(2.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
3,59.0,530875.0,1975.0,12.0,0.0,15201.0,12.0,3.0,0,0,0,"[np.float64(1975.0), np.float64(12.0), np.float64(15201.0), np.float64(3.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
4,59.0,530875.0,1976.0,1.0,0.0,20326.0,13.0,4.0,0,0,0,"[np.float64(1976.0), np.float64(1.0), np.float64(20326.0), np.float64(4.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
5,59.0,530875.0,1976.0,2.0,0.0,24898.0,14.0,5.0,0,0,0,"[np.float64(1976.0), np.float64(2.0), np.float64(24898.0), np.float64(5.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
6,59.0,530875.0,1976.0,3.0,0.0,29349.0,15.0,6.0,0,0,0,"[np.float64(1976.0), np.float64(3.0), np.float64(29349.0), np.float64(6.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
7,59.0,530875.0,1976.0,4.0,0.0,33304.0,16.0,7.0,0,0,0,"[np.float64(1976.0), np.float64(4.0), np.float64(33304.0), np.float64(7.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
8,59.0,530875.0,1976.0,5.0,0.0,37631.0,17.0,8.0,0,0,0,"[np.float64(1976.0), np.float64(5.0), np.float64(37631.0), np.float64(8.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
9,59.0,530875.0,1976.0,6.0,0.0,42428.0,18.0,9.0,0,0,0,"[np.float64(1976.0), np.float64(6.0), np.float64(42428.0), np.float64(9.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
10,59.0,530875.0,1976.0,7.0,0.0,47023.0,19.0,10.0,0,0,0,"[np.float64(1976.0), np.float64(7.0), np.float64(47023.0), np.float64(10.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
11,59.0,530875.0,1976.0,8.0,0.0,52571.0,20.0,11.0,0,0,0,"[np.float64(1976.0), np.float64(8.0), np.float64(52571.0), np.float64(11.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
12,59.0,530875.0,1976.0,9.0,0.0,58696.0,21.0,12.0,0,0,0,"[np.float64(1976.0), np.float64(9.0), np.float64(58696.0), np.float64(12.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
13,59.0,530875.0,1976.0,10.0,0.0,62776.0,22.0,13.0,0,0,0,"[np.float64(1976.0), np.float64(10.0), np.float64(62776.0), np.float64(13.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
14,59.0,530875.0,1976.0,11.0,0.0,66347.0,23.0,14.0,0,0,0,"[np.float64(1976.0), np.float64(11.0), np.float64(66347.0), np.float64(14.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
15,59.0,530875.0,1976.0,12.0,0.0,69260.0,24.0,15.0,0,0,0,"[np.float64(1976.0), np.float64(12.0), np.float64(69260.0), np.float64(15.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
16,59.0,530875.0,1977.0,1.0,0.0,72025.0,25.0,16.0,0,0,0,"[np.float64(1977.0), np.float64(1.0), np.float64(72025.0), np.float64(16.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
17,59.0,530875.0,1977.0,2.0,0.0,74323.0,26.0,17.0,0,0,0,"[np.float64(1977.0), np.float64(2.0), np.float64(74323.0), np.float64(17.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
18,59.0,530875.0,1977.0,3.0,0.0,76684.0,27.0,18.0,0,0,0,"[np.float64(1977.0), np.float64(3.0), np.float64(76684.0), np.float64(18.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
19,59.0,530875.0,1977.0,4.0,0.0,79403.0,28.0,19.0,0,0,0,"[np.float64(1977.0), np.float64(4.0), np.float64(79403.0), np.float64(19.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
20,59.0,530875.0,1977.0,5.0,0.0,82093.0,29.0,20.0,0,0,0,"[np.float64(1977.0), np.float64(5.0), np.float64(82093.0), np.float64(20.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
21,59.0,530875.0,1977.0,6.0,0.0,84579.0,30.0,21.0,0,0,0,"[np.float64(1977.0), np.float64(6.0), np.float64(84579.0), np.float64(21.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
22,59.0,530875.0,1977.0,7.0,0.0,88054.0,31.0,22.0,0,0,0,"[np.float64(1977.0), np.float64(7.0), np.float64(88054.0), np.float64(22.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
23,59.0,530875.0,1977.0,8.0,0.0,90206.0,32.0,23.0,0,0,0,"[np.float64(1977.0), np.float64(8.0), np.float64(90206.0), np.float64(23.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
24,59.0,530875.0,1977.0,9.0,0.0,92421.0,33.0,24.0,0,0,0,"[np.float64(1977.0), np.float64(9.0), np.float64(92421.0), np.float64(24.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
25,59.0,530875.0,1977.0,10.0,0.0,95127.0,34.0,25.0,0,0,0,"[np.float64(1977.0), np.float64(10.0), np.float64(95127.0), np.float64(25.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
26,59.0,530875.0,1977.0,11.0,0.0,98290.0,35.0,26.0,0,0,0,"[np.float64(1977.0), np.float64(11.0), np.float64(98290.0), np.float64(26.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
27,59.0,530875.0,1977.0,12.0,0.0,100941.0,36.0,27.0,0,0,0,"[np.float64(1977.0), np.float64(12.0), np.float64(100941.0), np.float64(27.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
28,59.0,530875.0,1978.0,1.0,0.0,104241.0,37.0,28.0,0,0,0,"[np.float64(1978.0), np.float64(1.0), np.float64(104241.0), np.float64(28.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
29,59.0,530875.0,1978.0,2.0,0.0,107720.0,38.0,29.0,0,0,0,"[np.float64(1978.0), np.float64(2.0), np.float64(107720.0), np.float64(29.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
30,59.0,530875.0,1978.0,3.0,0.0,110597.0,39.0,30.0,0,0,0,"[np.float64(1978.0), np.float64(3.0), np.float64(110597.0), np.float64(30.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
31,59.0,530875.0,1978.0,4.0,0.0,113442.0,40.0,31.0,0,0,0,"[np.float64(1978.0), np.float64(4.0), np.float64(113442.0), np.float64(31.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
32,59.0,530875.0,1978.0,5.0,0.0,116148.0,41.0,32.0,0,0,0,"[np.float64(1978.0), np.float64(5.0), np.float64(116148.0), np.float64(32.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
33,59.0,530875.0,1978.0,6.0,0.0,118615.0,42.0,33.0,0,0,0,"[np.float64(1978.0), np.float64(6.0), np.float64(118615.0), np.float64(33.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,0
